HCHO_Reading,Location,Current_Date,Next_Date,STATION,LATITUDE,LONGITUDE,ELEVATION,PRCP,TAVG,TMAX,TMIN
5.539429507152505e-05,Nuwara Eliya Proper,2019-02-10,2019-02-11,CE000434730,6.967,80.767,1880.0,0.99,62,70,54
0.0001981789630254,Colombo Proper,2019-02-11,2019-02-12,CEM00043466,6.9,79.867,7.0,0.0,82,92,76
9.253276543587998e-05,Nuwara Eliya Proper,2019-02-11,2019-02-12,CE000434730,6.967,80.767,1880.0,0.0,58,65,54
5.8587178500602015e-05,Colombo Proper,2019-02-12,2019-02-13,CEM00043466,6.9,79.867,7.0,0.0,83,65,76
0.0001574102690481,Nuwara Eliya Proper,2019-02-12,2019-02-13,CE000434730,6.967,80.767,1880.0,0.0,58,91,53
0.0002542805951476,Colombo Proper,2019-02-13,2019-02-14,CEM00043466,6.9,79.867,7.0,0.0,85,94,77
7.972334424266592e-05,Nuwara Eliya Proper,2019-02-13,2019-02-14,CE000434730,6.967,80.767,1880.0,0.0,60,66,56
7.972334424266592e-05,Colombo Proper,2019-02-14,2019-02-15,CEM00043466,6.9,79.867,7.0,0.0,81,92,77
-0.0001202388983189,Nuwara Eliya Proper,2019-02-14,2019-02-15,CE000434730,6.967,80.767,1880.0,0.01,59,67,77
0.0002239912172577,Colombo Proper,2019-02-15,2019-02-16,CEM00043466,6.9,79.867,7.0,0.49,82,87,78
0.0002091493159849,Nuwara Eliya Proper,2019-02-15,2019-02-16,CE000434730,6.967,80.767,1880.0,0.04,61,69,52
0.0002091493159849,Colombo Proper,2019-02-16,2019-02-17,CEM00043466,6.9,79.867,7.0,0.0,81,69,52
8.038732615390482e-05,Nuwara Eliya Proper,2019-02-16,2019-02-17,CE000434730,6.967,80.767,1880.0,0.04,60,93,51
0.0001262731392288,Colombo Proper,2019-02-17,2019-02-18,CEM00043466,6.9,79.867,7.0,0.0,83,88,76
0.0003741742613115,Nuwara Eliya Proper,2019-02-17,2019-02-18,CE000434730,6.967,80.767,1880.0,0.17,62,72,53
0.0002255146318446,Colombo Proper,2019-02-18,2019-02-19,CEM00043466,6.9,79.867,7.0,0.0,84,88,79
0.0001733092446862,Nuwara Eliya Proper,2019-02-18,2019-02-19,CE000434730,6.967,80.767,1880.0,0.01,62,73,50
0.0003180786698506,Colombo Proper,2019-02-19,2019-02-20,CEM00043466,6.9,79.867,7.0,0.0,84,90,78
0.0002395688257623,Nuwara Eliya Proper,2019-02-19,2019-02-20,CE000434730,6.967,80.767,1880.0,0.0,62,71,49
0.0002720768387394,Colombo Proper,2019-02-20,2019-02-21,CEM00043466,6.9,79.867,7.0,0.52,82,90,76
0.0001075724904002,Nuwara Eliya Proper,2019-02-20,2019-02-21,CE000434730,6.967,80.767,1880.0,0.0,59,66,52
0.0002230429464187,Colombo Proper,2019-02-21,2019-02-22,CEM00043466,6.9,79.867,7.0,0.0,82,66,75
-7.767660943011708e-05,Nuwara Eliya Proper,2019-02-21,2019-02-22,CE000434730,6.967,80.767,1880.0,0.0,60,93,54
0.0003148949841717,Colombo Proper,2019-02-22,2019-02-23,CEM00043466,6.9,79.867,7.0,0.0,85,95,76
-2.5037994831152824e-05,Nuwara Eliya Proper,2019-02-22,2019-02-23,CE000434730,6.967,80.767,1880.0,0.02,62,70,50
0.0003274182238715,Colombo Proper,2019-02-23,2019-02-24,CEM00043466,6.9,79.867,7.0,0.0,82,88,74
0.0001895221819805,Nuwara Eliya Proper,2019-02-23,2019-02-24,CE000434730,6.967,80.767,1880.0,0.0,61,72,44
0.0002362989851716,Colombo Proper,2019-02-24,2019-02-25,CEM00043466,6.9,79.867,7.0,0.0,82,87,75
0.0002737589225376,Nuwara Eliya Proper,2019-02-24,2019-02-25,CE000434730,6.967,80.767,1880.0,0.0,63,72,53
0.0002424675429303,Colombo Proper,2019-02-25,2019-02-26,CEM00043466,6.9,79.867,7.0,0.0,83,89,77
0.0001543677869547,Nuwara Eliya Proper,2019-02-25,2019-02-26,CE000434730,6.967,80.767,1880.0,0.0,62,73,77
0.000156459748926,Colombo Proper,2019-02-26,2019-02-27,CEM00043466,6.9,79.867,7.0,0.0,84,89,78
0.0001542016842877,Nuwara Eliya Proper,2019-02-26,2019-02-27,CE000434730,6.967,80.767,1880.0,0.0,63,69,52
0.0001542016842877,Colombo Proper,2019-02-27,2019-02-28,CEM00043466,6.9,79.867,7.0,0.0,83,88,75
0.0002270067709833,Nuwara Eliya Proper,2019-02-27,2019-02-28,CE000434730,6.967,80.767,1880.0,0.0,60,66,73
0.0002270067709833,Colombo Proper,2019-02-28,2019-03-01,CEM00043466,6.9,79.867,7.0,0.0,83,88,77
0.0001663931743162,Nuwara Eliya Proper,2019-02-28,2019-03-01,CE000434730,6.967,80.767,1880.0,0.2,59,71,48
0.0001663931743162,Colombo Proper,2019-03-01,2019-03-02,CEM00043466,6.9,79.867,7.0,0.0,83,89,79
-2.715724766397789e-05,Nuwara Eliya Proper,2019-03-01,2019-03-02,CE000434730,6.967,80.767,1880.0,0.0,61,74,47
-2.715724766397789e-05,Colombo Proper,2019-03-02,2019-03-03,CEM00043466,6.9,79.867,7.0,0.0,83,74,77
0.0001235405797752,Nuwara Eliya Proper,2019-03-02,2019-03-03,CE000434730,6.967,80.767,1880.0,0.0,63,96,53
0.0002934140276437,Colombo Proper,2019-03-03,2019-03-04,CEM00043466,6.9,79.867,7.0,0.0,84,92,73
0.0003741742613115,Nuwara Eliya Proper,2019-03-03,2019-03-04,CE000434730,6.967,80.767,1880.0,0.0,63,73,53
0.0002222321497741,Colombo Proper,2019-03-04,2019-03-05,CEM00043466,6.9,79.867,7.0,0.01,82,88,75
0.0003741742613115,Nuwara Eliya Proper,2019-03-04,2019-03-05,CE000434730,6.967,80.767,1880.0,0.0,61,73,50
0.0003741742613115,Colombo Proper,2019-03-05,2019-03-06,CEM00043466,6.9,79.867,7.0,0.17,84,73,78
0.0001477264081287,Nuwara Eliya Proper,2019-03-05,2019-03-06,CE000434730,6.967,80.767,1880.0,0.0,63,95,51
0.000135851958492,Colombo Proper,2019-03-06,2019-03-07,CEM00043466,6.9,79.867,7.0,0.0,84,89,77
6.384192250393643e-05,Nuwara Eliya Proper,2019-03-06,2019-03-07,CE000434730,6.967,80.767,1880.0,0.0,63,73,52
0.0002023807303628,Colombo Proper,2019-03-07,2019-03-08,CEM00043466,6.9,79.867,7.0,0.0,84,89,79
0.0001673222246266,Nuwara Eliya Proper,2019-03-07,2019-03-08,CE000434730,6.967,80.767,1880.0,0.0,64,75,50
0.0001644238164367,Colombo Proper,2019-03-08,2019-03-09,CEM00043466,6.9,79.867,7.0,0.0,85,90,79
8.084443465562647e-05,Nuwara Eliya Proper,2019-03-08,2019-03-09,CE000434730,6.967,80.767,1880.0,0.0,62,75,79
8.084443465562647e-05,Colombo Proper,2019-03-09,2019-03-10,CEM00043466,6.9,79.867,7.0,0.0,83,89,74
0.0002969609827467,Nuwara Eliya Proper,2019-03-09,2019-03-10,CE000434730,6.967,80.767,1880.0,0.0,63,73,48
0.0002969609827467,Colombo Proper,2019-03-10,2019-03-11,CEM00043466,6.9,79.867,7.0,0.0,84,90,76
